station,start_time,zr_hours,label,duration,lon,lat
PWA,2014-03-02 02:53,7.17,1,28.38,-97.6471,35.5342
LAW,2014-03-02 04:21,6.3,1,6.3,-98.4166,34.5677
MKO,2014-03-02 06:53,7.87,1,26.37,-95.3614,35.6567
BPK,2014-03-02 10:59,8.37,1,16.9,-92.47,36.37
HKA,2014-03-02 13:53,8.23,1,12.83,-89.83,35.94
JBR,2014-03-02 15:14,6.08,1,16.35,-90.6464,35.8317
FSM,2014-03-02 15:28,8.12,1,11.42,-94.3674,35.3366
AWM,2014-03-02 20:30,9.22,1,11.38,-90.2344,35.1351
PBF,2014-03-03 03:24,7.23,1,17.48,-91.9347,34.175
GDP,2014-03-03 07:18,8.55,1,8.55,-104.8098,31.8331
DWH,2014-03-04 03:39,7.68,1,9.23,-95.5562,30.068
AUS,2014-03-04 04:14,8.27,1,10.65,-97.6699,30.1945
IAH,2014-03-04 04:22,6.18,1,7.52,-95.3414,29.9844
CXO,2014-03-04 05:53,7.35,1,7.5,-95.4145,30.3524
