station,start_time,zr_hours,label,duration,lon,lat
CYSB,2021-12-25 01:14,7.35,1,12.77,-80.8016,46.6261
CYYB,2021-12-25 03:00,7.13,1,12.0,-79.4228,46.3636
CYGK,2021-12-25 03:36,16.75,1,18.4,-76.5969,44.2253
BTV,2021-12-25 10:10,13.1,1,18.83,-73.15,44.47
BDL,2021-12-25 10:33,6.62,1,6.7,-72.6825,41.9381
VSF,2021-12-25 10:45,7.9,1,17.83,-72.5173,43.3436
LEB,2021-12-25 11:12,9.42,1,16.97,-72.3042,43.6261
AFN,2021-12-25 11:30,11.42,1,18.5,-72.003,42.8051
HFD,2021-12-25 11:45,9.27,1,11.0,-72.6494,41.7367
MHT,2021-12-25 11:50,7.97,1,8.0,-71.4358,42.9328
ORH,2021-12-25 12:05,8.25,1,18.25,-71.8757,42.2673
ASH,2021-12-25 12:20,12.22,1,20.75,-71.5148,42.7818
PSM,2021-12-25 12:50,11.4,1,17.1,-70.8233,43.0779
CON,2021-12-25 12:50,9.1,1,15.75,-71.5011,43.1953
MPV,2021-12-25 13:00,6.7,1,11.85,-72.5623,44.2035
DAW,2021-12-25 13:37,8.58,1,15.3,-70.92,43.28
BVY,2021-12-25 13:50,7.37,1,18.67,-70.9161,42.5841
