station,start_time,zr_hours,label,duration,lon,lat
VSF,2013-01-30 00:47,2.13,0,4.12,-72.5173,43.3436
LEB,2013-01-30 01:26,1.63,0,4.07,-72.3042,43.6261
MPV,2013-01-30 01:27,2.3,0,5.4,-72.5623,44.2035
CYMX,2013-01-30 02:00,9.55,1,9.0,-74.0387,45.6795
MVL,2013-01-30 02:02,0.33,0,0.0,-72.61399999999999,44.5346
CYUL,2013-01-30 02:10,2.33,0,1.83,-73.7414,45.4683
MHT,2013-01-30 02:13,0.22,0,0.0,-71.4358,42.9328
MSS,2013-01-30 02:31,3.75,0,4.37,-74.8456,44.9358
CYHU,2013-01-30 02:46,1.27,0,1.25,-73.4167,45.5167
IZG,2013-01-30 03:47,2.53,0,5.57,-70.9479,43.9911
HIE,2013-01-30 03:52,2.85,0,6.0,-71.5522,44.3659
DAW,2013-01-30 04:27,3.02,0,4.4,-70.92,43.28
BML,2013-01-30 04:31,1.58,0,1.35,-71.1786,44.5761
AFN,2013-01-30 04:52,0.53,0,0.15,-72.003,42.8051
MWN,2013-01-30 05:50,1.95,0,2.0,-71.3035,44.2708
