station,start_time,zr_hours,label,duration,lon,lat
BLV,2014-02-14 14:41,1.13,0,7.78,-89.8352,38.5452
STL,2014-02-14 15:07,1.08,0,4.25,-90.3734,38.7524
SUS,2014-02-14 15:35,1.7,0,5.32,-90.6558,38.6572
CPS,2014-02-14 15:40,3.47,0,6.27,-90.1562,38.5707
COU,2014-02-14 18:26,1.1,0,0.47,-92.2183,38.8169
SET,2014-02-14 19:01,0.43,0,1.65,-90.43,38.93
MTO,2014-02-14 19:43,0.72,0,0.63,-88.2792,39.4779
VIH,2014-02-14 21:28,0.42,0,0.0,-91.77,38.13
TBN,2014-02-14 21:44,0.32,0,0.23,-92.1407,37.7416
EVV,2014-02-14 23:37,0.22,0,0.0,-87.5205,38.0441
