station,start_time,zr_hours,label,duration,lon,lat
FSD,2011-02-20 09:19,8.15,1,13.85,-96.7536,43.5769
EST,2011-02-20 09:47,9.6,1,12.65,-94.7476,43.4008
SPW,2011-02-20 11:48,16.72,1,27.08,-95.2101,43.1682
MCW,2011-02-20 12:01,13.58,1,30.87,-93.3261,43.1544
OVS,2011-02-20 12:43,14.57,1,33.83,-90.6775,43.1561
MSN,2011-02-20 14:29,8.48,1,14.92,-89.3453,43.1406
UGN,2011-02-20 14:35,7.72,1,35.57,-87.8679,42.4222
AZO,2011-02-20 19:23,11.53,1,12.47,-85.5519,42.2347
RST,2011-02-20 19:41,10.73,1,22.22,-92.4916,43.9041
BTL,2011-02-20 20:08,8.72,1,11.62,-85.2515,42.3073
ADG,2011-02-20 20:42,12.18,1,12.18,-84.0773,41.8677
TOL,2011-02-20 20:52,10.22,1,13.63,-83.8014,41.5886
TDZ,2011-02-20 21:16,9.9,1,12.68,-83.4764,41.5631
LPR,2011-02-20 22:34,8.18,1,11.7,-82.1794,41.3461
CLE,2011-02-20 23:51,7.98,1,12.12,-81.8528,41.405
BKL,2011-02-21 00:13,6.0,1,9.13,-81.6833,41.5175
YNG,2011-02-21 00:27,7.98,1,9.83,-80.6739,41.2544
