station,start_time,zr_hours,label,duration,lon,lat
OLD,1984-03-18 11:00,14.0,1,26.0,-68.6743,44.9525
BGR,1984-03-18 11:00,14.0,1,26.0,-68.8281,44.8074
AUG,1984-03-18 15:00,13.08,1,24.0,-69.8,44.32
FOE,1984-03-18 18:00,12.0,1,27.0,-95.6636,38.9509
HUL,1984-03-18 18:27,16.7,1,37.55,-67.7921,46.1231
MCI,1984-03-18 19:08,11.28,1,26.87,-94.7139,39.2976
FLV,1984-03-18 20:00,10.0,1,26.0,-94.9147,39.3683
MKC,1984-03-18 20:00,6.03,1,9.0,-94.59299999999999,39.123000000000005
PWM,1984-03-18 22:00,8.0,1,10.0,-70.3044,43.6424
PSM,1984-03-18 23:00,8.0,1,10.0,-70.8233,43.0779
ART,1984-03-18 23:00,6.0,1,6.0,-76.0262,43.9888
BTV,1984-03-18 23:00,12.0,1,12.0,-73.15,44.47
GFL,1984-03-19 00:00,8.0,1,8.0,-73.6103,43.3412
MSS,1984-03-19 00:00,12.83,1,25.0,-74.8456,44.9358
PBG,1984-03-19 00:00,11.0,1,11.0,-73.4624,44.6382
MPV,1984-03-19 00:00,8.0,1,12.0,-72.5623,44.2035
MWN,1984-03-19 02:00,14.0,1,21.0,-71.3035,44.2708
SPI,1984-03-19 03:00,8.62,1,9.0,-89.6839,39.8447
PIA,1984-03-19 07:00,8.53,1,12.0,-89.6839,40.6675
