station,start_time,zr_hours,label,duration,lon,lat
TKI,2013-12-05 20:06,15.33,1,16.78,-96.59,33.18
MWL,2013-12-05 20:39,0.78,0,2.23,-98.0602,32.7816
AFW,2013-12-05 21:20,10.65,1,17.87,-97.3179,32.9716
DAL,2013-12-05 21:53,6.28,1,10.15,-96.8518,32.8471
FTW,2013-12-05 21:58,17.1,1,18.92,-97.3624,32.8198
RBD,2013-12-05 22:53,15.27,1,12.0,-96.87,32.68
DFW,2013-12-05 23:04,9.48,1,12.82,-97.038,32.8968
GKY,2013-12-05 23:06,8.7,1,13.2,-97.0943,32.6639
ADS,2013-12-05 23:47,5.47,0,14.03,-96.8364,32.9686
TRL,2013-12-05 23:55,13.13,1,16.97,-96.27,32.71
TYR,2013-12-06 00:28,3.17,0,2.42,-95.4024,32.3541
