station,start_time,zr_hours,label,duration,lon,lat
LWD,1982-01-29 14:00,3.0,0,7.0,-93.9005,40.6306
DSM,1982-01-29 15:00,0.62,0,2.0,-93.6531,41.534
IRK,1982-01-29 15:00,10.45,1,15.0,-92.5433,40.0972
UIN,1982-01-29 17:00,9.37,1,14.0,-91.1946,39.9428
OTM,1982-01-29 17:00,3.0,0,2.0,-92.4446,41.1008
BRL,1982-01-29 17:38,1.73,0,1.37,-91.1255,40.7729
MLI,1982-01-29 19:25,2.47,0,1.58,-90.5075,41.4485
RFD,1982-01-29 22:00,1.35,0,6.0,-89.09299999999999,42.1927
GUS,1982-01-30 01:00,3.0,0,2.0,-86.1521,40.6481
FWA,1982-01-30 02:00,3.0,0,2.0,-85.1871,40.978
SBN,1982-01-30 03:00,1.55,0,1.0,-86.3164,41.7072
