station,start_time,end_time,zr_hours,label,duration
MWN,1981-11-07 02:00,1981-11-07 03:00,1.0,0,1.0
RHI,1981-11-19 23:00,1981-11-19 23:00,0.0,0,0.0
MSS,1981-11-20 12:00,1981-11-20 12:00,0.0,0,0.0
MPV,1981-11-20 14:00,1981-11-20 14:00,0.0,0,0.0
NHZ,1981-11-20 22:00,1981-11-20 23:00,1.0,0,1.0
OSC,1981-11-21 12:00,1981-11-21 12:00,0.0,0,0.0
MIB,1981-11-21 14:00,1981-11-21 14:00,0.0,0,0.0
MOT,1981-11-21 14:00,1981-11-21 14:00,0.0,0,0.0
JMS,1981-11-21 17:00,1981-11-21 19:00,0.42,0,2.0
PIT,1981-11-22 03:19,1981-11-22 03:19,0.0,0,0.0
ISN,1981-11-22 19:00,1981-11-22 20:00,1.0,0,1.0
ATY,1981-11-23 05:00,1981-11-23 11:00,4.0,0,6.0
JMS,1981-11-23 05:00,1981-11-23 07:00,2.0,0,2.0
ALO,1981-11-23 07:00,1981-11-23 13:00,5.0,0,6.0
MCW,1981-11-23 07:00,1981-11-23 09:00,2.0,0,2.0
RWF,1981-11-23 08:00,1981-11-23 09:00,1.0,0,1.0
RST,1981-11-23 10:00,1981-11-23 17:00,6.27,1,7.0
MLI,1981-11-23 10:27,1981-11-23 12:00,1.55,0,1.55
MSP,1981-11-23 11:00,1981-11-23 18:00,5.0,0,7.0
FRM,1981-11-23 13:00,1981-11-23 13:00,0.0,0,0.0
MKT,1981-11-23 13:00,1981-11-23 13:00,0.0,0,0.0
LNR,1981-11-23 15:00,1981-11-23 16:00,1.0,0,1.0
RFD,1981-11-23 16:00,1981-11-23 16:00,0.0,0,0.0
LYH,1981-11-24 10:00,1981-11-24 10:00,0.0,0,0.0
GFK,1981-11-25 05:00,1981-11-25 05:00,0.0,0,0.0
MSP,1981-11-25 07:00,1981-11-25 08:00,1.0,0,1.0
LSE,1981-11-25 09:00,1981-11-25 09:00,0.0,0,0.0
UCA,1981-11-26 22:00,1981-11-26 22:00,0.0,0,0.0
RME,1981-11-26 22:00,1981-11-26 22:00,0.0,0,0.0
GFL,1981-11-27 01:00,1981-11-27 09:00,5.0,0,8.0
ALB,1981-11-27 02:00,1981-11-27 02:00,0.0,0,0.0
BTV,1981-11-27 07:00,1981-11-27 09:00,2.0,0,2.0
MPV,1981-11-27 08:00,1981-11-27 11:00,3.0,0,3.0
MSS,1981-11-27 09:00,1981-11-27 12:00,2.0,0,3.0
AUG,1981-11-27 10:16,1981-11-27 12:00,1.73,0,1.73
PWM,1981-11-27 10:25,1981-11-27 14:28,3.47,0,4.05
NHZ,1981-11-27 11:00,1981-11-27 15:00,3.0,0,4.0
LEB,1981-11-27 11:00,1981-11-27 11:00,0.0,0,0.0
MWN,1981-11-27 12:00,1981-11-27 15:00,3.0,0,3.0
FSD,1981-11-28 12:00,1981-11-28 12:00,0.0,0,0.0
CID,1981-11-30 22:00,1981-11-30 23:00,0.55,0,1.0
DBQ,1981-11-30 23:00,1981-11-30 23:00,0.0,0,0.0
CAK,1981-12-01 06:00,1981-12-01 10:00,4.0,0,4.0
CLE,1981-12-01 07:37,1981-12-01 09:00,1.38,0,1.38
MSP,1981-12-01 09:00,1981-12-01 10:00,1.0,0,1.0
DUJ,1981-12-01 10:00,1981-12-01 15:00,5.0,0,5.0
AOO,1981-12-01 10:10,1981-12-01 21:00,10.83,1,10.83
BFD,1981-12-01 10:38,1981-12-01 14:00,3.37,0,3.37
FKL,1981-12-01 11:00,1981-12-01 12:00,1.0,0,1.0
JST,1981-12-01 11:20,1981-12-01 16:00,3.67,0,4.67
ERI,1981-12-01 12:00,1981-12-01 12:00,0.0,0,0.0
LNS,1981-12-01 12:00,1981-12-01 15:00,3.0,0,3.0
IPT,1981-12-01 12:00,1981-12-01 17:00,3.9,0,5.0
CXY,1981-12-01 12:30,1981-12-01 15:00,2.5,0,2.5
ELM,1981-12-01 13:00,1981-12-01 19:00,2.67,0,6.0
IAG,1981-12-01 13:00,1981-12-01 14:00,1.0,0,1.0
MDT,1981-12-01 13:00,1981-12-01 14:00,1.0,0,1.0
AVP,1981-12-01 13:32,1981-12-01 18:00,3.35,0,4.47
ABE,1981-12-01 14:00,1981-12-01 19:00,5.0,0,5.0
ITH,1981-12-01 14:00,1981-12-01 23:00,5.42,0,9.0
BUF,1981-12-01 14:00,1981-12-01 14:00,0.0,0,0.0
MUI,1981-12-01 14:00,1981-12-01 20:00,6.0,1,6.0
SYR,1981-12-01 15:00,1981-12-01 18:00,3.0,0,3.0
BGM,1981-12-01 15:00,1981-12-01 22:00,2.37,0,7.0
PHL,1981-12-01 15:00,1981-12-01 16:00,1.0,0,1.0
LWB,1981-12-01 15:00,1981-12-01 16:00,1.0,0,1.0
UCA,1981-12-01 16:00,1981-12-01 21:00,2.27,0,5.0
MRB,1981-12-01 16:00,1981-12-01 17:00,1.0,0,1.0
RDG,1981-12-01 16:00,1981-12-01 16:00,0.0,0,0.0
RME,1981-12-01 16:00,1981-12-01 21:00,3.0,0,5.0
HPN,1981-12-01 17:00,1981-12-01 20:00,3.0,0,3.0
ALB,1981-12-01 17:00,1981-12-02 04:00,11.0,1,11.0
MSV,1981-12-01 17:00,1981-12-01 22:00,5.0,0,5.0
SWF,1981-12-01 18:00,1981-12-01 21:00,3.0,0,3.0
GTB,1981-12-01 18:00,1981-12-01 21:00,1.0,0,3.0
ROA,1981-12-01 20:00,1981-12-01 20:00,0.0,0,0.0
BDL,1981-12-01 20:00,1981-12-01 23:20,3.33,0,3.33
BTV,1981-12-01 20:00,1981-12-01 20:00,0.0,0,0.0
BAF,1981-12-01 21:00,1981-12-01 22:00,1.0,0,1.0
ORH,1981-12-01 21:00,1981-12-02 02:00,2.42,0,5.0
AUG,1981-12-01 22:00,1981-12-02 05:00,2.0,0,7.0
CEF,1981-12-01 22:00,1981-12-02 01:00,3.0,0,3.0
GFL,1981-12-02 00:00,1981-12-02 00:00,0.0,0,0.0
SLK,1981-12-02 00:00,1981-12-02 00:00,0.0,0,0.0
LEB,1981-12-02 00:00,1981-12-02 04:00,4.0,0,4.0
PSM,1981-12-02 01:00,1981-12-02 02:00,1.0,0,1.0
NHZ,1981-12-02 02:00,1981-12-02 02:00,0.0,0,0.0
MWN,1981-12-02 05:00,1981-12-02 09:00,4.0,0,4.0
OLD,1981-12-02 05:00,1981-12-02 06:00,1.0,0,1.0
BGR,1981-12-02 05:00,1981-12-02 06:00,1.0,0,1.0
CAR,1981-12-02 08:38,1981-12-02 10:00,1.37,0,1.37
HUL,1981-12-02 09:00,1981-12-02 09:00,0.0,0,0.0
RHI,1981-12-05 04:00,1981-12-05 04:00,0.0,0,0.0
BID,1981-12-05 17:30,1981-12-05 18:00,0.5,0,0.5
MVY,1981-12-05 19:00,1981-12-05 22:00,3.0,0,3.0
HUL,1981-12-06 07:00,1981-12-06 11:00,4.0,0,4.0
CAR,1981-12-06 11:19,1981-12-06 12:00,0.68,0,0.68
