median_time,filename,zr_hours,index,med_lat,med_lon
1979-12-11 20:39,Events_070522_eps=5_t=2.5_lon=mean-lat/1979/197912111200_197912120500.csv,1.381,24974.647,40.5,-92.5
1979-12-12 12:16,Events_070522_eps=5_t=2.5_lon=mean-lat/1979/197912120600_197912130300.csv,7.287,202729.077,34.75,-98.0
1979-12-13 10:30,Events_070522_eps=5_t=2.5_lon=mean-lat/1979/197912130608_197912132200.csv,3.886,36646.893,41.25,-79.5
1979-12-23 11:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1979/197912230400_197912231200.csv,2.818,65550.052,44.75,-92.5
1980-01-05 02:30,Events_070522_eps=5_t=2.5_lon=mean-lat/1979/198001041300_198001051000.csv,2.892,240328.714,36.0,-79.5
1980-01-07 03:02,Events_070522_eps=5_t=2.5_lon=mean-lat/1979/198001061500_198001070700.csv,1.569,8832856.423,41.75,-86.25
1980-01-07 13:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1979/198001070517_198001071622.csv,1.145,131065.525,40.25,-79.5
1980-01-10 23:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1979/198001102100_198001111632.csv,0.902,6148206.149,43.5,-83.5
1980-01-13 14:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1979/198001130400_198001132300.csv,1.245,408124.951,43.0,-93.0
1980-01-14 04:15,Events_070522_eps=5_t=2.5_lon=mean-lat/1979/198001131800_198001141500.csv,4.942,1073689.558,39.0,-79.0
1980-01-14 20:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1979/198001141600_198001142300.csv,2.857,26259697.641,47.5,-97.0
1980-01-15 12:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1979/198001151100_198001151400.csv,2.0,277187.381,46.5,-91.25
1980-01-16 04:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1979/198001152000_198001161200.csv,2.398,41444.536,44.75,-85.25
1980-01-18 03:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1979/198001180100_198001181200.csv,2.4,52125.385,44.75,-70.0
1980-01-19 16:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1979/198001190700_198001200400.csv,2.393,95173.586,39.25,-97.75
1980-01-24 02:09,Events_070522_eps=5_t=2.5_lon=mean-lat/1979/198001240000_198001240800.csv,0.737,350144636.36,44.25,-97.0
1980-01-29 06:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1979/198001282306_198001291600.csv,1.552,1306806.999,33.25,-96.0
1980-01-30 10:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1979/198001300100_198001301700.csv,5.264,9748998.391,35.5,-89.75
1980-01-31 03:30,Events_070522_eps=5_t=2.5_lon=mean-lat/1979/198001301700_198001311500.csv,6.45,802626.733,35.0,-80.25
1980-02-08 02:21,Events_070522_eps=5_t=2.5_lon=mean-lat/1979/198002071600_198002081600.csv,2.812,132582.462,34.75,-98.0
