station,lon,lat
EET,-86.78,33.18
8A0,-86.2558,34.2291
ALX,-85.963,32.9147
79J,-86.3938,31.3088
ANB,-85.8581,33.5882
AUO,-85.434,32.6151
AUB,-85.5,32.6
1R8,-87.8193,30.8703
EKY,-86.9263,33.3126
BHM,-86.7449,33.5655
OZR,-85.7134,31.2758
9A4,-87.3488,34.6594
CMD,-86.858,34.2687
3A1,-86.86,34.27
DCU,-86.9453,34.6525
DYA,-87.9541,32.4638
DHN,-85.45,31.32
EDN,-85.9048,31.2982
EUF,-85.1289,31.9513
GZH,-87.0441,31.4158
CQF,-87.877,30.4605
4R4,-87.877,30.4605
0J4,-86.3116,31.0425
NBJ,-87.6353,30.3891
4A9,-85.7214,34.4737
HEY,-85.6543,31.346
GAD,-86.0891,33.9726
PRN,-86.6108,31.8457
JKA,-87.6718,30.2905
1M4,-87.6004,34.2803
HDL,-85.3125,31.3641
0J6,-85.3117,31.3641
HSV,-86.7861,34.6439
MDQ,-86.56,34.86
LOR,-85.7511,31.3558
JFX,-87.3142,33.902
A08,-87.3848,32.5105
MXF,-86.3658,32.3829
MOB,-88.2456,30.6883
BFM,-88.0681,30.6268
MGM,-86.394,32.3006
MSL,-87.5996,34.7438
PLR,-86.2491,33.5588
RAM,-88.0833,29.05
1A9,-86.5127,32.4387
HUA,-86.6848,34.6786
4A6,-86.0059,34.6887
SEM,-86.9878,32.3439
SXS,-85.8549,31.3612
SCD,-86.3055,33.1718
ASN,-86.0512,33.5695
TOI,-86.0121,31.8604
TCL,-87.6161,33.2119
ADF,-93.0661,34.0998
M89,-93.0661,34.0998
BVX,-91.6472,35.7261
SUZ,-92.4794,34.5904
VBT,-94.2194,36.3457
HKA,-89.83,35.94
CDH,-92.7634,33.6228
CCA,-92.4516,35.5978
CXW,-92.5551,35.0199
4M9,-90.6479,36.4042
BYH,-89.9439,35.9643
ELD,-92.8133,33.221
FYV,-94.1701,36.0051
FLP,-92.5902,36.2909
FSM,-94.3674,35.3366
HRO,-93.1547,36.2615
HOT,-93.0962,34.478
DEQ,-94.3994,34.047
JBR,-90.6464,35.8317
LIT,-92.2357,34.7273
LRF,-92.1465,34.9168
AGO,-93.217,33.228
MEZ,-94.2026,34.5454
LLQ,-91.75,33.64
BPK,-92.47,36.37
MWT,-93.5781,34.5467
M19,-91.1764,35.6377
ORK,-92.2541,34.8331
LZK,-92.2594,34.835
XNA,-94.307,36.282
PBF,-91.9347,34.175
ROG,-94.107,36.3724
RUE,-93.0947,35.2578
SRC,-91.74,35.21
SLG,-94.49,36.1919
ASG,-94.1193,36.1764
SGT,-91.575,34.5995
TXK,-93.991,33.4537
ARG,-90.9251,36.1247
AWM,-90.2344,35.1351
BDR,-73.1289,41.1583
SNC,-72.5059,41.3839
DXR,-73.48,41.37
GON,-72.05,41.33
BDL,-72.6825,41.9381
HFD,-72.6494,41.7367
MMK,-72.83,41.51
HVN,-72.8868,41.2638
OXC,-73.1354,41.4741
IJD,-72.1836,41.7419
33N,-75.6005,39.2187
DOV,-75.466,39.1295
GED,-75.3589,38.6892
ILG,-75.6008,39.6728
AAF,-85.0274,29.7276
BOW,-81.7834,27.9434
BCT,-80.11,26.38
BKV,-82.4554,28.4736
FIN,-81.2087,29.4657
XMR,-80.5668,28.4677
VSH,-85.598,30.7799
NFJ,-86.9597,30.5069
CLW,-82.7563,27.9742
2IS,-81.0468,26.7339
CEW,-86.52,30.78
CTY,-83.1048,29.6355
CGC,-82.5713,28.8673
DAB,-81.0581,29.1799
54J,-86.1538,30.7311
DED,-81.2838,29.067
DTS,-86.4674,30.3934
EGI,-86.5229,30.6503
VPS,-86.5254,30.4832
FHB,-81.4612,30.6118
FXE,-80.17,26.2
FMY,-81.8614,26.585
FLL,-80.15,26.07
RSW,-81.7567,26.5381
FPR,-80.3767,27.4981
GNV,-82.276,29.6917
HWO,-80.2412,25.9996
HST,-80.3837,25.4884
HRT,-86.6893,30.4278
IMM,-81.401,26.4332
INF,-82.3182,28.8036
X40,-82.3179,28.8063
CRG,-81.5147,30.3361
JAX,-81.6879,30.4941
NIP,-81.6747,30.2342
VQQ,-81.8767,30.2187
NEN,-81.867,30.3495
42J,-82.0475,29.8448
EYW,-81.7596,24.5561
NQX,-81.6888,24.5757
ISM,-81.44,28.29
LCQ,-82.5769,30.1821
LAL,-82.0186,27.9889
X07,-81.6167,27.8934
LNA,-80.0848,26.5925
LEE,-81.81,28.82
24J,-83.0247,30.3001
MCF,-82.52,27.85
MTH,-81.0514,24.7262
MKY,-81.6725,25.995
MAI,-85.1839,30.8356
NRB,-81.4245,30.3914
MLB,-80.6453,28.1028
MIA,-80.3169,25.788
TMB,-80.4347,25.6423
OPF,-80.2828,25.9102
NDZ,-87.0231,30.7044
APF,-81.7753,26.1525
TTS,-80.6944,28.6149
EVB,-80.9489,29.0557
OCF,-82.221,29.1636
OBE,-80.8498,27.2628
ORL,-81.3329,28.5455
MCO,-81.309,28.4294
OMN,-81.1136,29.3006
28J,-81.6889,29.6586
XFL,-81.2063,29.4674
ECP,-85.7956,30.3582
PFN,-85.6828,30.2121
TDR,-85.5765,30.07
COF,-80.61,28.235
NPA,-87.318,30.3533
PNS,-87.1869,30.4781
FPY,-83.5815,30.0708
40J,-83.5736,30.0719
PCM,-82.1642,28.0002
PMP,-80.111,26.2464
PGD,-81.9914,26.9172
2J9,-84.5574,30.5979
SPG,-82.627,27.7651
PIE,-82.6874,27.91
SFB,-81.2436,28.7797
SRQ,-82.5586,27.4014
SEF,-81.3416,27.4547
SGJ,-81.3397,29.9592
TLH,-84.3514,30.3935
TPA,-82.5403,27.9619
TPF,-82.4493,27.9156
VVG,-81.9698,28.9446
TIX,-80.7992,28.5148
1J0,-85.6014,30.8458
BCR,-85.6017,30.8438
PAM,-85.5754,30.0696
X26,-80.4959,27.8126
VDF,-82.3453,28.014
VNC,-82.4403,27.0716
VRB,-80.4179,27.6556
F45,-80.2223,26.8459
PBI,-80.0994,26.6847
NSE,-87.0219,30.7242
X60,-82.4719,29.3557
GIF,-81.7533,28.0629
SUA,-80.22,27.18
ZPH,-82.1559,28.2281
ABY,-84.1945,31.5355
AMG,-82.5066,31.5361
ACJ,-84.1889,32.1108
AHN,-83.3264,33.9486
PDK,-84.302,33.8756
FTY,-84.52,33.78
ATL,-84.4418,33.6301
DNL,-82.0382,33.4669
AGS,-81.9645,33.3699
BGE,-84.6369,30.9716
BHC,-82.3938,31.7138
DZJ,-83.9973,34.8544
BIJ,-84.8948,31.3975
BQK,-81.4665,31.2588
SSI,-81.3908,31.1522
6A1,-84.2507,32.5674
CZL,-84.9392,34.4554
CXU,-84.2352,31.2132
18A,-83.1308,34.3404
47A,-84.4239,34.3106
CTJ,-85.1523,33.6317
VPC,-84.8487,34.1232
CNI,-84.4239,34.3106
CWV,-81.8696,32.1951
48A,-83.2759,32.3994
CSG,-84.9422,32.5161
CKF,-83.7739,31.9888
AJR,-83.5567,34.4998
9A1,-83.8496,33.6325
CVC,-83.8474,33.6323
PUJ,-84.9406,33.912
DNN,-84.87,34.72
MGE,-84.5163,33.9153
17J,-84.8776,31.007
DQH,-82.8606,31.4767
DBN,-82.9853,32.5644
EZM,-83.1287,32.2164
EBA,-82.8175,34.0954
27A,-82.8159,34.0952
49A,-84.5271,34.6301
FZG,-83.2709,31.6839
LSF,-84.9913,32.3373
LHW,-81.5623,31.8891
GVL,-83.8303,34.2719
3J7,-83.139,33.5977
4A7,-84.3324,33.3891
HMP,-84.331,33.3899
AZE,-82.6474,31.8847
HOE,-82.7741,31.0559
SVN,-81.146,32.01
19A,-83.5616,34.1759
JZP,-84.4572,34.4535
JCA,-83.5583,34.1739
JES,-81.8825,31.554
9A5,-85.2903,34.6885
LGC,-85.0726,33.0089
LZU,-83.9624,33.9781
2J3,-82.3857,32.9865
MCN,-83.6492,32.6928
RYY,-84.5986,34.0131
MQW,-82.8794,32.0969
MHP,-82.081,32.3739
MLJ,-83.2407,33.1542
2J5,-81.9654,32.8935
D73,-83.6928,33.7825
VAD,-83.193,30.9678
MGR,-83.8032,31.0849
MUL,-83.7041,31.1377
CCO,-84.77,33.31
FFC,-84.5669,33.3553
PXE,-83.7673,32.5106
PIM,-84.8824,32.8407
RVJ,-82.1536,32.0595
RMG,-85.1611,34.3478
OKZ,-82.8382,32.9667
SAV,-81.2021,32.1276
6A2,-84.2749,33.227
TBR,-81.7369,32.4827
SBO,-82.3699,32.6091
JYL,-81.5971,32.6453
OPN,-84.2594,32.954
TVI,-83.8811,30.9018
HQU,-82.5164,33.5297
TMA,-83.4885,31.429
TOC,-83.2964,34.5928
VLD,-83.2767,30.7825
VDI,-82.37,32.19
WRB,-83.5918,32.6401
IIY,-82.8158,33.7794
AYS,-82.3955,31.2491
WDR,-83.6674,33.9829
AXA,-94.2724,43.0796
AMW,-93.6185,41.9904
IKV,-93.5695,41.6878
AIO,-95.0465,41.4059
ADU,-94.9204,41.6994
BNW,-93.8486,42.0486
BRL,-91.1255,40.7729
CIN,-94.7889,42.0444
CID,-91.7246,41.8829
TVK,-92.8983,40.6832
CNC,-93.3608,41.0184
CCY,-92.6132,43.073
CKP,-95.5538,42.7304
ICL,-95.0223,40.7242
CAV,-93.7593,42.743
CWI,-90.3328,41.8295
CBF,-95.7604,41.2611
CSQ,-94.3608,41.0188
DEH,-91.7433,43.2755
DNS,-95.38,41.9842
DSM,-93.6531,41.534
DBQ,-90.7091,42.3984
EST,-94.7476,43.4008
FFL,-91.9834,41.0521
FXY,-93.6237,43.2323
FOD,-94.2032,42.5497
FSW,-91.3267,40.6615
GGI,-92.7332,41.7097
HPT,-93.2244,42.7175
HNR,-95.3355,41.5834
